"","Metagenomic Diversity index","lon","lat","sample_name","Nation","Bioproject","Depth","min_len","avg_len","max_len","subtype","raster_value","value"
"285",0.909864929716129,-123.6308,39.7392,"SRR5438552","United States","PRJNA365727","0.2 m",NA,NA,NA,"grassland",25882,0.909864929716129
"286",0.918621333771739,-123.6308,39.7392,"SRR5438874","United States","PRJNA365884","0.1 m",NA,NA,NA,"grassland",25882,0.918621333771739
"287",0.904312375718384,-123.6308,39.7392,"SRR5438876","United States","PRJNA365728","0.3 m",NA,NA,NA,"grassland",25882,0.904312375718384
"288",0.936360274366099,141.97633,-35.11641,"SRR5919112","AUnited Statestralia","PRJNA317932","0",NA,NA,NA,"agricultural land",25356,0.936360274366099
"289",0.929606306605759,131.0516,-25.3504,"SRR5919199","AUnited Statestralia","PRJNA317932","0",NA,NA,NA,"grassland",19304,0.929606306605759
"290",0.938244668132125,131.0423,-25.351,"SRR5919201","AUnited Statestralia","PRJNA317932","20 cm",NA,NA,NA,"grassland",23725,0.938244668132125
"291",0.934753159733637,131.0516,-25.3504,"SRR5919202","AUnited Statestralia","PRJNA317932","0",NA,NA,NA,"grassland",19304,0.934753159733637
"292",0.916737729710518,-123.6308,39.7392,"SRR5947208","United States","PRJNA365688","0.2 m",NA,NA,NA,"grassland",25882,0.916737729710518
"293",0.93130032796813,-123.6308,39.7392,"SRR5947209","United States","PRJNA365683","0.3 m",NA,NA,NA,"grassland",25882,0.93130032796813
"294",0.950762506857663,-123.63,39.74,"SRR7042337","USA: Angelo Coast Range Reserve, CA","PRJNA449266","10-20 cm ",NA,NA,NA,"grassland",25882,0.950762506857663
"295",0.945764414355163,-123.63,39.74,"SRR7042339","USA: Angelo Coast Range Reserve, CA","PRJNA449266","10-20 cm ",NA,NA,NA,"grassland",25882,0.945764414355163
"296",0.944853542688883,-123.63,39.74,"SRR7042340","USA: Angelo Coast Range Reserve, CA","PRJNA449266","10-20 cm ",NA,NA,NA,"grassland",25882,0.944853542688883
"297",0.94369267289691,-123.63,39.74,"SRR7042342","USA: Angelo Coast Range Reserve, CA","PRJNA449266","10-20 cm ",NA,NA,NA,"grassland",25882,0.94369267289691
"298",0.953775514200753,-123.63,39.74,"SRR7042345","USA: Angelo Coast Range Reserve, CA","PRJNA449266","10-20 cm ",NA,NA,NA,"grassland",25882,0.953775514200753
