"","plot","latitude","longitude","area","subsamples","area_m2","Last_fire_y_ago","collection_date","biome","nativeness","warning","delta15N","N_conc_g_kg","P_conc_mg_kg","abund","richness","mold_Eurotiales_Abundance","mold_Mortierellales_Abundance","mold_Mucorales_Abundance","mold_Trichoderma_Abundance","mold_Umbelopsidales_Abundance","lat","lon","sample_name","study_id","raster_value","adiv_richness_new","adiv_chao1_new","adiv_shannon_new","subtype","value"
"2044","S885",59.56,150.94,"Russia:Magadan",40,"2500","100","2018-09-28","forest: subpolar coniferous forest biome","","","1.89088593","6.880599421","37.02612648",5186,688,1.542614732,1.137678365,0.424219051,0.019282684,10.60547628,59.56,150.94,"S885","S",27273,353,508.4,4.78974046833754,"coniferous",4.78974046833754
"2045","S886",59.51,150.88,"Russia:Magadan",40,"2500","100","2018-09-28","forest: subpolar coniferous forest biome","","molds_above_5SD_median","0.848338272","11.87007872","75.54658754",7701,1284,85.18374237,0.051941306,0.03895598,2.428256071,0.181794572,59.51,150.88,"S886","S",29780,375,998,3.52683663975083,"coniferous",3.52683663975083
"2046","S893",59.69,150.29,"Russia:Arman",40,"2500","100","2018-10-01","forest: subpolar coniferous forest biome","","","0.987180936","12.90502319","45.21712406",7017,1193,0.285022089,2.607952116,0.555793074,0.071255522,0.342026507,59.69,150.29,"S893","S",26421,581,1103.77659574468,5.59050579632724,"coniferous",5.59050579632724
"2047","S894",59.58,151.32,"Russia:Ola",40,"2500","100","2018-10-02","forest: subpolar coniferous forest biome","","","5.055228689","9.214198623","61.93910448",3429,360,0.029163021,1.924759405,2.245552639,0,9.332166812,59.58,151.32,"S894","S",29397,233,356.170731707317,3.63076514610459,"coniferous",3.63076514610459
"2048","S895",59.57,151.27,"Russia:Ola",40,"2500","100","2018-10-02","forest: temperate broadleaf forest biome","","","4.36468759","4.262904078","40.35820365",4624,668,52.74653979,1.816608997,0.064878893,0.194636678,0.021626298,59.57,151.27,"S895","S",29599,366,626.957746478873,4.12033345030337,"broadleaf",4.12033345030337
"2049","S896",10.7,-10,"Guinea:Moussaya",40,"2500","100","2018-07-03","woodland: tropical woodland biome","","","2.232055241","2.410043949","13.39396914",5461,1030,1.007141549,0.347921626,0.164804981,0.585973265,0,10.7,-10,"S896","S",24524,551,835.925,5.54569983120834,"forest",5.54569983120834
"2050","S897",11.24,-5.42,"Mali:Farako",40,"2500","100","2018-06-28","woodland: tropical woodland biome","","","1.367495104","1.018416218","2.273950617",4058,729,10.74420897,0.542138985,0.098570724,0.172498768,0.024642681,11.24,-5.42,"S897","S",27483,441,675.611111111111,5.07883868785576,"forest",5.07883868785576
"2051","S898",10.17,-4.93,"Burkina Faso:Niangoloko",40,"2500","100","2018-06-26","woodland: tropical woodland biome","","","3.016398603","1.06673545","0.842283643",3289,656,0.577683186,1.702645181,0.790513834,0.456065673,0,10.17,-4.93,"S898","S",26003,441,584.510869565217,5.30680137166915,"forest",5.30680137166915
"2052","S899",10.19,-9.18,"Guinea:Bissandougou",40,"2500","100","2018-07-01","woodland: tropical woodland biome","","","3.026302697","2.196203825","75.48725834",7578,990,0.963314859,0.303510161,0.052784376,0.316706255,0,10.19,-9.18,"S899","S",26081,447,775.44578313253,4.93193444472643,"forest",4.93193444472643
"2053","S900",10.21,1.45,"Benin:Kota",40,"2500","100","2018-06-21","forest: tropical broadleaf forest biome","","","1.95985461","2.797122267","1.19459364",7755,929,7.272727273,0,0.064474533,0.992907801,7.517730496,10.21,1.45,"S900","S",27129,471,823.5375,5.17584535397488,"broadleaf",5.17584535397488
"2054","S901",7.63,-4.75,"Côte d'Ivoire:Kouadianikro",40,"2500","100","2018-07-11","forest: tropical broadleaf forest biome","","","5.903379985","3.435655347","0.351198946",7064,907,0.89184598,0.382219706,0.353907135,2.590600227,0,7.63,-4.75,"S901","S",27450,356,704.560606060606,4.01596165046342,"broadleaf",4.01596165046342
"2055","S902",11.19,-4.44,"Burkina Faso:Kou",40,"2500","100","2018-06-25","forest: tropical broadleaf forest biome","","","2.99236449","2.507431195","5.44417495",5678,954,3.751320888,0.228953857,0.105671011,1.690736175,0,11.19,-4.44,"S902","S",29599,399,770.092105263158,4.19535848813888,"broadleaf",4.19535848813888
"2056","S903",10.21,1.45,"Benin:Kota",40,"2500","100","2018-06-21","woodland: tropical woodland biome","","","1.7427776","0.944842484","5.761483146",5582,874,0.967395199,0.125403081,0.035829452,0.125403081,0,10.21,1.45,"S903","S",27129,422,686.725274725275,4.85149465895044,"forest",4.85149465895044
"2057","S904",11.24,-5.42,"Mali:Farako",40,"2500","100","2018-06-28","woodland: tropical woodland biome","","","2.216081848","1.743192347","0.523857209",5883,1095,1.121876594,0.288968213,0.254971953,0.424953255,0,11.24,-5.42,"S904","S",27483,558,905.805084745763,5.33061067773856,"forest",5.33061067773856
"2058","S906",-1.6,35.39,"Kenya:Ololaimutiek",40,"2500","100","2018-10-19","woodland: tropical woodland biome","","","5.960060372","2.839046585","32.30699664",2981,798,0.93928212,2.0127474,0.13418316,0.10063737,0,-1.6,35.39,"S906","S",26800,520,700.276923076923,5.38169963139987,"forest",5.38169963139987
"2059","S907",19,-99.1,"Mexico:Tepoztlan, morelos",40,"2500","100","2018-11-25","forest: tropical broadleaf forest biome","","","2.791207251","9.125428964","111.5520785",5709,1650,2.557365563,2.977754423,0.367840252,0.262743037,0.052548607,19,-99.1,"S907","S",28396,674,1308.91044776119,5.22256869818289,"broadleaf",5.22256869818289
"2060","S908N",19.28,-99.37,"Mexico:El Zarco:Edomex",40,"2500","100","2018-11-26","forest: tropical coniferous forest biome","","","0.14394703","6.218774146","3.91648213",6562,1619,3.474550442,0.502895459,0.152392563,0.274306614,1.341054557,19.28,-99.37,"S908N","SN",20673,634,1619.45054945055,5.31032142227126,"coniferous",5.31032142227126
"2061","S909",19.28,-99.37,"Mexico:El Zarco:Edomex",40,"2500","100","2018-11-26","forest: tropical coniferous forest biome","","","0.173457181","9.123239862","37.76552113",6318,1132,0.269072491,7.043368154,0.300728079,0.015827794,0,19.28,-99.37,"S909","S",20673,553,955.362745098039,5.50923783287871,"coniferous",5.50923783287871
"2062","S910N",19.29,-99.19,"Mexico:Mexico city",40,"2500","100","2018-11-26","forest: tropical broadleaf forest biome","non-native","","3.245482208","7.318165038","1.48942446",3181,954,1.823325998,2.26343917,0.188619931,0.220056586,0.094309965,19.29,-99.19,"S910N","SN",29966,518,893.024590163934,4.22576186962681,"broadleaf",4.22576186962681
"2063","S911",16.16,-91.31,"Mexico:Maravilla Tenejapa",40,"2500","100","2018-12-04","forest: tropical broadleaf forest biome","","","-0.098704032","13.34334939","9.330835149",5108,1391,2.388410337,0.509005482,0.646045419,1.429130775,0,16.16,-91.31,"S911","S",24963,675,1090.97872340426,5.81388168444507,"broadleaf",5.81388168444507
"2064","S912",16.15,-90.89,"Mexico:Lacantún",40,"2500","100","2018-12-05","forest: tropical broadleaf forest biome","","","1.955136411","11.88701868","30.90016245",2732,607,0.109809663,0.256222548,0.036603221,0,0,16.15,-90.89,"S912","S",25927,414,560.126213592233,4.3941877994555,"broadleaf",4.3941877994555
"2065","S913",16.25,-90.83,"Mexico:Centro Ecoturistico Ara Macao Las Guacamayas",40,"2500","100","2018-12-06","forest: tropical broadleaf forest biome","","","1.306230447","13.22188874","21.21567871",7140,1619,0.714285714,1.988795518,0.168067227,1.848739496,0,16.25,-90.83,"S913","S",22043,662,1213.3381294964,5.34833223121748,"broadleaf",5.34833223121748
"2066","S914",16.1,-91.69,"Mexico:Lagos de Monte Bello",40,"2500","100","2018-12-06","forest: tropical coniferous forest biome","","molds_above_5SD_median","1.033892977","5.674049864","3.880605208",7415,967,59.04248146,0.148347943,0.04045853,0.93054619,2.38705327,16.1,-91.69,"S914","S",25351,402,760.986486486486,4.51021786959906,"coniferous",4.51021786959906
"2067","S915",16.55,-93.88,"Mexico:Rancho Calimayor",40,"2500","100","2018-12-07","forest: tropical broadleaf forest biome","","","3.458522014","4.34374939","0.845460818",7855,1024,3.2718014,0.114576703,0.076384468,0.534691279,0,16.55,-93.88,"S915","S",29047,457,817.632183908046,4.80277793802884,"broadleaf",4.80277793802884
"2068","S916",16.6,-95.02,"Mexico:Oaxaca:La Ventosa",40,"2500","100","2018-12-07","forest: tropical broadleaf forest biome","","","6.129795569","5.070063054","1.905430917",7645,1133,2.249836494,0.915631131,0.654022237,0.104643558,0,16.6,-95.02,"S916","S",29202,522,783.55462184874,5.31847864258774,"broadleaf",5.31847864258774
"2069","S917",16.11,-95.32,"Mexico:Morro de Mazatán",40,"2500","100","2018-12-07","forest: tropical broadleaf forest biome","","","6.034679263","6.041548505","23.88370565",4992,957,1.141826923,0.520833333,0.220352564,0.360576923,0,16.11,-95.32,"S917","S",26194,536,807.727272727273,5.28531305477772,"broadleaf",5.28531305477772
"2070","S918",15.93,-95.78,"Mexico:El Limón",40,"2500","100","2018-12-08","forest: tropical broadleaf forest biome","","","6.740029111","2.107135083","1.715795587",7239,1177,1.560989087,0.980798453,0.193396878,0.524934383,0,15.93,-95.78,"S918","S",28321,556,979.11320754717,5.56837213482228,"broadleaf",5.56837213482228
"2071","S919",15.68,-96.47,"Mexico:Bahia de",40,"2500","100","2018-12-08","forest: tropical broadleaf forest biome","","","5.406604646","3.690142933","19.32758047",2965,681,4.991568297,2.731871838,0.370994941,0.876897133,0,15.68,-96.47,"S919","S",26406,451,646.098039215686,4.87848434040236,"broadleaf",4.87848434040236
"2072","S920",15.72,-96.41,"Mexico:Road to 
San Martin
",40,"2500","100","2018-12-08","forest: tropical broadleaf forest biome","","","5.213558951","2.599783346","52.88059107",4714,1116,4.391175223,0.933389902,0.487908358,0.466694951,0,15.72,-96.41,"S920","S",24449,581,860.021126760563,5.66002290683268,"broadleaf",5.66002290683268
"2073","S934",22.78,58.48,"Oman:Jabal:Ibra",40,"2500","100","2019-01-07","shrubland: subtropical shrubland biome","","","4.424563819","1.216959461","79.2959221",6308,1953,0.887761573,0.348763475,0.142675967,0.412175016,0,22.78,58.48,"S934","S",19777,771,1534.90740740741,5.56423209019249,"shrubland",5.56423209019249
"2074","S937",-16.98,-65.41,"Bolivia:Villa Tunari",40,"2500","100","2018-11-28","forest: tropical broadleaf forest biome","","","1.996612557","10.92091101","59.42354467",6194,1163,7.265095253,0.145301905,0.048433968,0.435905715,0,-16.98,-65.41,"S937","S",29680,624,913,5.75869283907213,"broadleaf",5.75869283907213
"2075","S938",-17,-65.64,"Bolivia:Crystal Maya",40,"2500","100","2018-11-29","forest: tropical broadleaf forest biome","","","unknown","unknown","10.48837838",5633,720,17.69927215,1.757500444,0.195277827,2.432096574,4.917450737,-17,-65.64,"S938","S",28642,398,620.581081081081,5.00441804173119,"broadleaf",5.00441804173119
"2076","S939",-17.58,-66.34,"Bolivia:Parotani",40,"2500","100","2018-11-29","forest: tropical broadleaf forest biome","","","2.52015024","1.899270742","75.33693396",6273,769,33.90722143,2.24772836,0.191296031,0.446357405,2.311493703,-17.58,-66.34,"S939","S",28020,402,644.168674698795,4.41133777667102,"broadleaf",4.41133777667102
"2077","S940N",-17.67,-66.75,"Bolivia:Confital",40,"2500","100","2018-11-30","shrubland: montane shrubland biome","non-native","","4.852437336","5.49962348","73.26679389",5334,663,0.037495313,0.224971879,0.018747657,0,0,-17.67,-66.75,"S940N","SN",28450,372,564.164383561644,4.6322229907919,"shrubland",4.6322229907919
"2078","S941N",-17.66,-66.42,"Bolivia:Bombeo",40,"2500","100","2018-11-30","forest: tropical broadleaf forest biome","","","3.801719551","1.168063338","27.38951821",6321,1090,13.47887992,0.522069293,0.015820282,0.363866477,0,-17.66,-66.42,"S941N","SN",28701,507,801.470085470085,4.854777795925,"broadleaf",4.854777795925
"2079","S942",-18.18,-63.58,"Bolivia:Cuevas",40,"2500","100","2018-12-01","forest: tropical broadleaf forest biome","","","2.673947564","3.370100525","27.13782582",3316,730,4.43305187,19.81302774,2.231604343,0.452352232,0,-18.18,-63.58,"S942","S",28600,448,645.336448598131,5.02402098139329,"broadleaf",5.02402098139329
"2080","S943",-17.27,-64.38,"Bolivia:Bulo Bulo",40,"2500","100","2018-12-02","forest: tropical broadleaf forest biome","","","4.322627435","4.316765159","28.2525588",5892,1319,1.968771215,21.52070604,0.678886626,0.543109301,3.581126952,-17.27,-64.38,"S943","S",28896,553,1051.14018691589,5.10739628741754,"broadleaf",5.10739628741754
